店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
お好み焼・鉄板焼 てっぱん食堂,050-5486-1317,,広島県,広島市東区東蟹屋町,10月19日,,https://y258000.gorp.jp/,TRUE
炭焼牛たん 東山 ekie広島店,050-5488-4889,,広島県,広島市南区松原町,1月2日,ekieダイニング1F,https://ya1s100.gorp.jp/,TRUE
一軒め酒場 広島駅前,050-5489-1319,,広島県,広島市南区松原町,10月1日,フルフォーカスB1,https://y275839.gorp.jp/,TRUE
広島北 BEER THE BASE．,050-5488-5295,,広島県,広島市南区松原町,2-62,グランゲートヒロシマ 広島JPビルディング 2F,https://ya69800.gorp.jp/,TRUE
りんりん,082-263-7886,,広島県,広島市南区的場町,2002/1/9,,,
三代目鳥メロ 広島駅南口店,050-5492-3841,,広島県,広島市南区松原町,10月1日,ＨＩＲＯＳＩＭＡ ＦＵＬＬ ＦＯＣＵＳ 3F,,
旨唐揚げと居酒メシ ミライザカ 広島駅南口店,050-5492-3940,,広島県,広島市南区松原町,10月1日,HIROSHIMA FULL FOCUS 3F,,
三代目鳥メロ 広島駅新幹線口店,050-5492-3996,,広島県,広島市東区若草町,11月2日,グランアークテラス2F,,
全席個室 居酒屋 あかりや（AKARIYA） 広島駅 北口店,050-5492-4052,,広島県,広島市東区光町,2001/9/21,,https://ya7f900.gorp.jp/,TRUE
中華居酒屋 美味軒,050-5494-8263,,広島県,広島市東区若草町,14-27,,https://y442600.gorp.jp/,TRUE
銀座ライオン ｅｋｉｅ広島店,050-5487-4696,,広島県,広島市南区松原町,1月2日,ekie2F,https://g029048.gorp.jp/,TRUE
瀬戸内イタリアン Massa ekie（エキエ）広島駅,050-5493-6612,,広島県,広島市南区松原町,1月2日,ekie1F,https://ya54700.gorp.jp/,TRUE
中国食堂 八八,050-5494-6137,,広島県,広島市中区幟町,11月3日,1F,https://ya3n300.gorp.jp/,TRUE
博多ぶあいそ離 広島猿猴橋,050-5487-3225,,広島県,広島市南区猿猴橋町,2月3日,宏和37ビルB1･1F,https://y024708.gorp.jp/,TRUE
角打ち酒屋 山城屋 的場町,082-264-0090,,広島県,広島市南区的場町,2001/6/1,,,
全席個室居酒屋 広島名物と牡蠣 和ノ音‐wanone‐ 広島駅前店,050-5487-9283,,広島県,広島市南区猿猴橋町,6月17日,宏和12ビル2～3F,https://ya64700.gorp.jp/,TRUE
隠れ家個室居酒屋 八海山 広島駅前店,050-5494-6340,,広島県,広島市南区猿猴橋町,6月17日,宏和12ビル5F,https://ya1p703.gorp.jp/,TRUE
八海山公認 個室居酒屋 越後酒房 広島駅前店,050-5488-4693,,広島県,広島市南区猿猴橋町,6月17日,宏和12ビル5F,https://ya1p700.gorp.jp/,TRUE
個室居酒屋 くいもの屋わん 広島駅南口店,050-5484-2056,,広島県,広島市南区松原町,10月1日,ヒロシマフルフォーカスビルB1,https://wan-hiroshima.gorp.jp/,TRUE
塩焼肉とからから鍋の店 赤旨酒場 唐魂 エキニシ店,050-5488-4892,,広島県,広島市南区大須賀町,10月7日,,https://ya1s301.gorp.jp/,TRUE
焼き鳥 串焼x中華 個室 居酒屋 八香閣（はっこうかく）広島駅前,050-5494-6668,,広島県,広島市東区二葉の里,2003/5/7,2F,https://y918302.gorp.jp/,TRUE
酒と辛味 のそのそ,050-5487-8329,,広島県,広島市南区大須賀町,12月4日,,https://ya0v100.gorp.jp/,TRUE
牡蠣ひよっこ商店 銀山町店,050-5494-5141,,広島県,広島市中区銀山町,12月24日,,https://ya7s702.gorp.jp/,TRUE
てっぱん家 的場店,050-5486-4303,,広島県,広島市南区的場町,2002/6/4,,https://teppanyamatobaten.gorp.jp/,TRUE
鉄板dining TUZUKI,050-5485-8245,,広島県,広島市南区大須賀町,13-27,,https://y814800.gorp.jp/,TRUE
YEBISU BAR エキシティ広島店,050-5486-5682,,広島県,広島市南区松原町,3月1日,1F,https://g029042.gorp.jp/,TRUE
